summary_type,statistic,probability,rainfall_mm,observed,raw,mean_bias,quantile_mapping
percentile,p01,0.01,,1.06,2.6321513765162123,2.734015823355606,0.65
percentile,p05,0.05,,1.3,2.665646441451277,2.7688071497032554,0.65
percentile,p10,0.1,,1.6,2.707515272620108,2.8122963076378173,0.65
percentile,p25,0.25,,2.75,3.1544731302230336,3.2765514663501882,0.65
percentile,p50,0.5,,4.5,3.9184994967837445,4.070145708031907,3.2926781896374253
percentile,p75,0.75,,6.5,5.640574541518141,5.858865180367564,6.851248079419507
percentile,p90,0.9,,7.2,6.825668428960965,7.089822286154952,7.916712450731954
percentile,p95,0.95,,7.35,7.133296819997171,7.409355917962862,8.147088223186092
percentile,p99,0.99,,7.47,7.379399532826137,7.664982823409191,8.331388841149403
ecdf,,,0.0,0.0,0.0,0.0,0.0
ecdf,,,0.0837746399564023,0.0,0.0,0.0,0.0
ecdf,,,0.1675492799128046,0.0,0.0,0.0,0.0
ecdf,,,0.2513239198692069,0.0,0.0,0.0,0.0
ecdf,,,0.3350985598256092,0.0,0.0,0.0,0.0
ecdf,,,0.41887319978201154,0.0,0.0,0.0,0.0
ecdf,,,0.5026478397384138,0.0,0.0,0.0,0.0
ecdf,,,0.5864224796948161,0.0,0.0,0.0,0.0
ecdf,,,0.6701971196512184,0.0,0.0,0.0,0.42857142857142855
ecdf,,,0.7539717596076208,0.0,0.0,0.0,0.42857142857142855
ecdf,,,0.8377463995640231,0.0,0.0,0.0,0.42857142857142855
ecdf,,,0.9215210395204253,0.0,0.0,0.0,0.42857142857142855
ecdf,,,1.0052956794768275,0.14285714285714285,0.0,0.0,0.42857142857142855
ecdf,,,1.0890703194332298,0.14285714285714285,0.0,0.0,0.42857142857142855
ecdf,,,1.1728449593896322,0.14285714285714285,0.0,0.0,0.42857142857142855
ecdf,,,1.2566195993460345,0.14285714285714285,0.0,0.0,0.42857142857142855
ecdf,,,1.3403942393024368,0.14285714285714285,0.0,0.0,0.42857142857142855
ecdf,,,1.4241688792588392,0.14285714285714285,0.0,0.0,0.42857142857142855
ecdf,,,1.5079435192152415,0.14285714285714285,0.0,0.0,0.42857142857142855
ecdf,,,1.5917181591716438,0.14285714285714285,0.0,0.0,0.42857142857142855
ecdf,,,1.6754927991280462,0.14285714285714285,0.0,0.0,0.42857142857142855
ecdf,,,1.7592674390844483,0.14285714285714285,0.0,0.0,0.42857142857142855
ecdf,,,1.8430420790408506,0.14285714285714285,0.0,0.0,0.42857142857142855
ecdf,,,1.926816718997253,0.14285714285714285,0.0,0.0,0.42857142857142855
ecdf,,,2.010591358953655,0.2857142857142857,0.0,0.0,0.42857142857142855
ecdf,,,2.0943659989100576,0.2857142857142857,0.0,0.0,0.42857142857142855
ecdf,,,2.1781406388664597,0.2857142857142857,0.0,0.0,0.42857142857142855
ecdf,,,2.2619152788228623,0.2857142857142857,0.0,0.0,0.42857142857142855
